MODEL dockq_wave qs_best
fold_7sjo_4_model_4 0.5616122448979592 0.627
fold_7sjo_3_model_4 0.5773469387755102 0.78
fold_7sjo_5_model_0 0.5700272108843538 0.78
fold_7sjo_3_model_3 0.5791224489795919 0.788
fold_7sjo_4_model_1 0.6204965986394557 0.801
fold_7sjo_1_model_4 0.5694625850340137 0.778
fold_7sjo_1_model_2 0.5710680272108843 0.759
fold_7sjo_2_model_4 0.559156462585034 0.605
fold_7sjo_5_model_2 0.5754217687074831 0.784
fold_7sjo_5_model_4 0.5712993197278912 0.778
fold_7sjo_2_model_3 0.5903265306122449 0.794
fold_7sjo_5_model_1 0.5700544217687075 0.78
fold_7sjo_3_model_1 0.5706598639455783 0.782
fold_7sjo_2_model_1 0.5980680272108844 0.808
fold_7sjo_1_model_1 0.5666122448979592 0.777
fold_7su1_3_model_1 0.8397808219178081 0.924
fold_7su1_5_model_2 0.8473561643835616 0.914
fold_7su1_1_model_0 0.8467397260273972 0.918
fold_7su1_4_model_3 0.8579178082191781 0.914
fold_7su1_2_model_2 0.8581643835616438 0.917
fold_7su1_5_model_3 0.858945205479452 0.918
fold_7su1_1_model_4 0.833027397260274 0.914
fold_7su1_5_model_1 0.837958904109589 0.915
fold_7su1_2_model_1 0.8570273972602739 0.912
fold_7su1_3_model_3 0.8571917808219178 0.92
fold_7su1_1_model_3 0.8483972602739726 0.918
fold_7su1_3_model_0 0.8417534246575342 0.919
fold_7su1_2_model_0 0.8434657534246575 0.924
fold_7su1_5_model_0 0.8536986301369863 0.917
fold_7su1_1_model_2 0.8404109589041096 0.917
fold_7su1_4_model_4 0.8453150684931506 0.923
fold_7su1_2_model_4 0.8492876712328767 0.917
fold_7su1_4_model_1 0.8464794520547945 0.916
fold_7su1_3_model_2 0.8467397260273972 0.918
fold_7su1_5_model_4 0.8267534246575342 0.916
fold_7su1_2_model_3 0.8445616438356164 0.919
fold_7su1_4_model_0 0.8484931506849314 0.918
fold_7su1_4_model_2 0.8535068493150684 0.92
fold_7su1_1_model_1 0.854041095890411 0.918
fold_7su1_3_model_4 0.8462465753424657 0.918
fold_7t25_3_model_0 0.866 0.814
fold_7t25_5_model_1 0.6570671641791045 0.558
fold_7t25_5_model_2 0.853 0.775
fold_7t25_2_model_2 0.865 0.627
fold_7t25_2_model_4 0.6663880597014925 0.539
fold_7t25_4_model_2 0.862 0.667
fold_7t25_5_model_4 0.862 0.756
fold_7t25_2_model_0 0.853 0.646
fold_7t25_4_model_3 0.863 0.779
fold_7t25_1_model_2 0.861 0.653
fold_7t25_4_model_1 0.6721268656716417 0.614
fold_7t25_1_model_3 0.6540895522388059 0.594
fold_7t25_4_model_4 0.863 0.748
fold_7t25_1_model_0 0.86 0.692
fold_7t25_3_model_2 0.858 0.785
fold_7t25_3_model_1 0.861 0.797
fold_7t25_4_model_0 0.6702388059701493 0.623
fold_7t25_2_model_1 0.861 0.67
fold_7t25_1_model_4 0.866 0.646
fold_7t25_5_model_0 0.6732089552238806 0.641
fold_7t25_1_model_1 0.86 0.662
fold_7t25_2_model_3 0.865 0.632
fold_7t25_3_model_4 0.6661641791044777 0.594
fold_7t25_3_model_3 0.862 0.641
fold_7t25_5_model_3 0.855 0.767
fold_7sjn_2_model_2 0.5649439252336448 0.718
fold_7sjn_5_model_3 0.8717102803738317 0.951
fold_7sjn_2_model_1 0.5491588785046728 0.708
fold_7sjn_1_model_2 0.8999813084112149 0.954
fold_7sjn_2_model_3 0.5560934579439252 0.709
fold_7sjn_5_model_4 0.8931214953271028 0.951
fold_7sjn_3_model_1 0.5499252336448598 0.709
fold_7sjn_5_model_2 0.8986168224299065 0.947
fold_7sjn_1_model_4 0.8872523364485981 0.948
fold_7sjn_3_model_4 0.565822429906542 0.714
fold_7sjn_5_model_0 0.8901214953271027 0.954
fold_7sjn_4_model_4 0.6031121495327102 0.787
fold_7sjn_4_model_2 0.5585327102803738 0.721
fold_7sjn_2_model_4 0.5669158878504672 0.714
fold_7sjn_2_model_0 0.5571869158878504 0.709
fold_7sjn_5_model_1 0.8902990654205607 0.951
fold_7sjn_1_model_1 0.8952616822429906 0.953
fold_7sjn_3_model_3 0.5572803738317756 0.717
fold_7sjn_4_model_1 0.5606915887850467 0.705
fold_7sjn_3_model_0 0.5571121495327103 0.706
fold_7sjn_1_model_3 0.8929532710280373 0.95
fold_7sjn_1_model_0 0.8881495327102803 0.951
fold_7sjn_4_model_0 0.5523177570093457 0.707
fold_7sjn_4_model_3 0.5564859813084112 0.712
fold_7sjn_3_model_2 0.5615140186915888 0.704
fold_7su0_2_model_0 0.9338888888888889 0.964
fold_7su0_1_model_0 0.6687792207792208 0.698
fold_7su0_2_model_3 0.9176234567901235 0.961
fold_7su0_4_model_0 0.6490432098765433 0.682
fold_7su0_5_model_1 0.6532345679012347 0.676
fold_7su0_3_model_4 0.6463580246913581 0.564
fold_7su0_3_model_0 0.6666948051948052 0.718
fold_7su0_1_model_3 0.5958518518518519 0.496
fold_7su0_4_model_2 0.7096038961038961 0.778
fold_7su0_1_model_2 0.6479350649350649 0.669
fold_7su0_2_model_2 0.9257716049382716 0.964
fold_7su0_4_model_1 0.6592222222222223 0.687
fold_7su0_3_model_1 0.6585061728395062 0.674
fold_7su0_4_model_3 0.6454753086419753 0.701
fold_7su0_5_model_2 0.6349197530864198 0.655
fold_7su0_2_model_1 0.9187222222222222 0.963
fold_7su0_4_model_4 0.6198209876543209 0.506
fold_7su0_1_model_1 0.6472654320987655 0.646
fold_7su0_1_model_4 0.5918148148148149 0.551
fold_7su0_3_model_2 0.6490714285714285 0.693
fold_7su0_5_model_0 0.6540370370370371 0.669
fold_7su0_2_model_4 0.9219506172839506 0.967
fold_7su0_5_model_3 0.6499567901234569 0.649
fold_7su0_3_model_3 0.6785909090909091 0.71
fold_7su0_5_model_4 0.6225246913580248 0.535
fold_7s0e_1_model_2 0.5090714285714285 0.682
fold_7s0e_4_model_2 0.5121587301587301 0.679
fold_7s0e_2_model_0 0.5053809523809524 0.68
fold_7s0e_4_model_1 0.5046428571428572 0.676
fold_7s0e_1_model_3 0.4950476190476191 0.678
fold_7s0e_5_model_3 0.5013412698412698 0.493
fold_7s0e_1_model_4 0.5067301587301588 0.674
fold_7s0e_1_model_0 0.5016904761904762 0.678
fold_7s0e_3_model_4 0.4996111111111112 0.551
fold_7s0e_5_model_4 0.5075952380952381 0.685
fold_7s0e_2_model_2 0.5002142857142857 0.677
fold_7s0e_1_model_1 0.503904761904762 0.679
fold_7s0e_4_model_0 0.5024285714285714 0.678
fold_7s0e_4_model_4 0.5046428571428572 0.678
fold_7s0e_3_model_2 0.5053809523809524 0.674
fold_7s0e_5_model_2 0.5016904761904762 0.677
fold_7s0e_3_model_1 0.5068571428571429 0.676
fold_7s0e_3_model_3 0.502531746031746 0.568
fold_7s0e_2_model_1 0.5061190476190477 0.677
fold_7s0e_5_model_0 0.5046428571428572 0.68
fold_7s0e_5_model_1 0.49726190476190485 0.679
fold_7s0e_2_model_3 0.4986507936507937 0.546
fold_7s0e_4_model_3 0.5127619047619048 0.676
fold_7s0e_3_model_0 0.5024285714285714 0.679
fold_7s0e_2_model_4 0.507984126984127 0.509
fold_7sd3_3_model_1 0.586283950617284 0.809
fold_7sd3_5_model_0 0.6059741100323623 0.678
fold_7sd3_2_model_2 0.5085 0.808
fold_7sd3_4_model_3 0.6158302469135801 0.795
fold_7sd3_5_model_1 0.5415061728395062 0.674
fold_7sd3_4_model_2 0.5435216049382716 0.783
fold_7sd3_3_model_4 0.5970401234567901 0.79
fold_7sd3_3_model_0 0.5727592592592592 0.787
fold_7sd3_1_model_1 0.6019691358024691 0.793
fold_7sd3_5_model_2 0.6191359223300971 0.685
fold_7sd3_3_model_3 0.560533950617284 0.763
fold_7sd3_2_model_0 0.573327160493827 0.794
fold_7sd3_1_model_0 0.5839475308641975 0.791
fold_7sd3_4_model_4 0.6216543209876544 0.803
fold_7sd3_3_model_2 0.5728117283950617 0.794
fold_7sd3_1_model_2 0.571358024691358 0.79
fold_7sd3_5_model_3 0.5686450617283951 0.68
fold_7sd3_2_model_3 0.5704907407407407 0.793
fold_7sd3_4_model_1 0.5794351851851851 0.791
fold_7sd3_5_model_4 0.6148878787878789 0.693
fold_7sd3_1_model_3 0.5900740740740741 0.804
fold_7sd3_2_model_1 0.5762222222222222 0.797
fold_7sd3_4_model_0 0.5756172839506173 0.789
fold_7sd3_1_model_4 0.554253086419753 0.781
fold_7sd3_2_model_4 0.6183456790123458 0.806
fold_7sgm_2_model_4 0.7932991452991454 0.805
fold_7sgm_3_model_2 0.8165470085470085 0.813
fold_7sgm_4_model_0 0.5430110497237569 0.545
fold_7sgm_5_model_2 0.5705469613259668 0.536
fold_7sgm_1_model_0 0.5551988950276243 0.542
fold_7sgm_1_model_2 0.5634585635359116 0.546
fold_7sgm_3_model_0 0.8448803418803418 0.823
fold_7sgm_5_model_4 0.5640165745856354 0.499
fold_7sgm_2_model_3 0.824051282051282 0.749
fold_7sgm_3_model_3 0.7827350427350427 0.813
fold_7sgm_4_model_1 0.540220994475138 0.534
fold_7sgm_5_model_3 0.5589447513812155 0.483
fold_7sgm_3_model_4 0.8351880341880341 0.821
fold_7sgm_3_model_1 0.834 0.79
fold_7sgm_4_model_4 0.5478066298342541 0.523
fold_7sgm_4_model_3 0.5724806629834255 0.529
fold_7sgm_5_model_1 0.5642044198895028 0.515
fold_7sgm_1_model_1 0.5349447513812156 0.545
fold_7sgm_2_model_0 0.5662541436464088 0.546
fold_7sgm_5_model_0 0.5453922651933701 0.54
fold_7sgm_1_model_3 0.8288376068376068 0.805
fold_7sgm_2_model_2 0.8367692307692307 0.816
fold_7sgm_2_model_1 0.8326153846153845 0.817
fold_7sgm_1_model_4 0.8507094017094016 0.83
fold_7sgm_4_model_2 0.5761767955801105 0.54
fold_7tee_2_model_1 0.4185108225108225 0.54
fold_7tee_1_model_4 0.5371428571428571 0.655
fold_7tee_4_model_1 0.4145238095238095 0.541
fold_7tee_4_model_2 0.41072294372294377 0.531
fold_7tee_4_model_3 0.5660995670995671 0.732
fold_7tee_3_model_0 0.5087532467532467 0.702
fold_7tee_4_model_4 0.5188311688311689 0.7
fold_7tee_3_model_2 0.5422207792207793 0.683
fold_7tee_5_model_0 0.42167532467532476 0.532
fold_7tee_1_model_3 0.40775757575757576 0.529
fold_7tee_5_model_3 0.49337662337662347 0.673
fold_7tee_5_model_4 0.5024108527131783 0.631
fold_7tee_1_model_1 0.42420346320346325 0.531
fold_7tee_2_model_0 0.4240303030303031 0.549
fold_7tee_4_model_0 0.4172294372294373 0.546
fold_7tee_3_model_3 0.5311428571428571 0.695
fold_7tee_2_model_2 0.413991341991342 0.544
fold_7tee_2_model_3 0.4050432900432901 0.542
fold_7tee_2_model_4 0.5766344537815127 0.689
fold_7tee_5_model_1 0.4119004329004329 0.533
fold_7tee_5_model_2 0.40609956709956707 0.544
fold_7tee_1_model_2 0.41462337662337667 0.524
fold_7tee_1_model_0 0.4203766233766234 0.532
fold_7tee_3_model_4 0.4880649350649351 0.63
fold_7tee_3_model_1 0.5325151515151516 0.671
fold_7swn_4_model_3 0.5990114942528735 0.723
fold_7swn_3_model_0 0.7149655172413794 0.883
fold_7swn_2_model_1 0.7078735632183908 0.884
fold_7swn_4_model_0 0.6124712643678161 0.713
fold_7swn_5_model_2 0.638632183908046 0.829
fold_7swn_3_model_4 0.7200804597701149 0.887
fold_7swn_5_model_1 0.6761954022988506 0.847
fold_7swn_3_model_2 0.7192528735632184 0.884
fold_7swn_1_model_4 0.7286436781609196 0.888
fold_7swn_4_model_1 0.482735632183908 0.515
fold_7swn_2_model_0 0.7197931034482759 0.884
fold_7swn_1_model_1 0.7198850574712643 0.883
fold_7swn_1_model_2 0.7158735632183908 0.886
fold_7swn_2_model_2 0.7259770114942529 0.887
fold_7swn_4_model_2 0.6888045977011494 0.856
fold_7swn_2_model_4 0.7249885057471264 0.887
fold_7swn_3_model_3 0.7273563218390804 0.886
fold_7swn_5_model_3 0.648712643678161 0.832
fold_7swn_3_model_1 0.7183448275862069 0.882
fold_7swn_2_model_3 0.7260229885057471 0.888
fold_7swn_5_model_0 0.6896091954022988 0.86
fold_7swn_1_model_3 0.7161149425287356 0.887
fold_7swn_5_model_4 0.672735632183908 0.855
fold_7swn_4_model_4 0.5405977011494253 0.724
fold_7swn_1_model_0 0.7233448275862069 0.885
fold_7t77_2_model_3 0.5935844155844157 0.683
fold_7t77_3_model_1 0.6055411255411256 0.696
fold_7t77_4_model_1 0.5945151515151516 0.63
fold_7t77_5_model_1 0.5884415584415584 0.659
fold_7t77_4_model_4 0.5942857142857143 0.709
fold_7t77_1_model_2 0.5873722943722944 0.678
fold_7t77_3_model_2 0.6109783549783551 0.686
fold_7t77_4_model_2 0.5927922077922079 0.66
fold_7t77_5_model_2 0.5920606060606061 0.661
fold_7t77_4_model_3 0.6024329004329005 0.687
fold_7t77_5_model_3 0.5995021645021645 0.655
fold_7t77_2_model_0 0.5949047619047619 0.668
fold_7t77_3_model_4 0.6094978354978355 0.678
fold_7t77_5_model_0 0.6045887445887446 0.587
fold_7t77_3_model_0 0.5955584415584416 0.669
fold_7t77_1_model_1 0.5888874458874459 0.643
fold_7t77_1_model_3 0.5961818181818181 0.663
fold_7t77_2_model_2 0.5935627705627706 0.675
fold_7t77_2_model_4 0.5845324675324676 0.704
fold_7t77_5_model_4 0.5997705627705627 0.692
fold_7t77_4_model_0 0.6013766233766233 0.555
fold_7t77_1_model_4 0.5882034632034632 0.573
fold_7t77_2_model_1 0.5891515151515152 0.66
fold_7t77_3_model_3 0.6125194805194806 0.683
fold_7t77_1_model_0 0.587922077922078 0.663
fold_7t73_1_model_0 0.6078468899521532 0.624
fold_7t73_4_model_4 0.6077416267942584 0.548
fold_7t73_1_model_3 0.6155167464114832 0.606
fold_7t73_3_model_2 0.6220622009569378 0.629
fold_7t73_2_model_0 0.6169569377990431 0.628
fold_7t73_2_model_4 0.6775358851674642 0.691
fold_7t73_5_model_0 0.5978755980861244 0.553
fold_7t73_4_model_0 0.6141291866028709 0.572
fold_7t73_1_model_2 0.6041339712918661 0.635
fold_7t73_2_model_2 0.6335071770334928 0.598
fold_7t73_5_model_2 0.6141100478468899 0.641
fold_7t73_3_model_4 0.6084784688995215 0.625
fold_7t73_3_model_0 0.6069952153110049 0.629
fold_7t73_5_model_1 0.6105990338164251 0.603
fold_7t73_4_model_3 0.6070765550239234 0.634
fold_7t73_1_model_1 0.6094258373205742 0.617
fold_7t73_3_model_1 0.6135837320574162 0.538
fold_7t73_2_model_3 0.6248277511961723 0.587
fold_7t73_2_model_1 0.6389521531100478 0.618
fold_7t73_4_model_1 0.6060191387559809 0.609
fold_7t73_3_model_3 0.605822966507177 0.598
fold_7t73_4_model_2 0.6025263157894737 0.665
fold_7t73_5_model_4 0.5963397129186603 0.608
fold_7t73_1_model_4 0.6126076555023924 0.562
fold_7t73_5_model_3 0.5879760765550239 0.642
fold_7tfo_5_model_3 0.46361325966850825 0.542
fold_7tfo_3_model_4 0.4563425414364641 0.54
fold_7tfo_3_model_2 0.4540497237569061 0.557
fold_7tfo_3_model_1 0.44790607734806626 0.564
fold_7tfo_5_model_2 0.46109944751381216 0.587
fold_7tfo_4_model_2 0.4494143646408839 0.556
fold_7tfo_2_model_2 0.46177900552486184 0.549
fold_7tfo_5_model_1 0.4645138121546961 0.565
fold_7tfo_1_model_3 0.4519502762430939 0.522
fold_7tfo_4_model_1 0.4445138121546961 0.535
fold_7tfo_5_model_4 0.4597569060773481 0.541
fold_7tfo_1_model_4 0.45241436464088397 0.491
fold_7tfo_1_model_1 0.455585635359116 0.54
fold_7tfo_3_model_0 0.44634254143646407 0.552
fold_7tfo_4_model_3 0.45046408839779006 0.548
fold_7tfo_1_model_0 0.448292817679558 0.554
fold_7tfo_2_model_0 0.446121546961326 0.531
fold_7tfo_2_model_3 0.455828729281768 0.515
fold_7tfo_4_model_0 0.44109944751381214 0.562
fold_7tfo_2_model_4 0.47823756906077347 0.529
fold_7tfo_1_model_2 0.448292817679558 0.524
fold_7tfo_3_model_3 0.4563204419889503 0.551
fold_7tfo_2_model_1 0.45617127071823205 0.542
fold_7tfo_5_model_0 0.45885635359116017 0.542
fold_7tfo_4_model_4 0.452 0.549
fold_7tyv_1_model_1 0.65240625 0.748
fold_7tyv_4_model_4 0.6672812499999999 0.712
fold_7tyv_3_model_1 0.7669132420091325 0.844
fold_7tyv_5_model_1 0.7702785388127854 0.688
fold_7tyv_5_model_2 0.7654200913242009 0.818
fold_7tyv_5_model_4 0.7538127853881278 0.843
fold_7tyv_5_model_0 0.7509634703196347 0.848
fold_7tyv_4_model_2 0.652640625 0.69
fold_7tyv_5_model_3 0.7592054794520549 0.741
fold_7tyv_1_model_0 0.6542890625 0.707
fold_7tyv_3_model_3 0.6588828125 0.715
fold_7tyv_1_model_3 0.7477762557077625 0.82
fold_7tyv_3_model_4 0.7576255707762557 0.854
fold_7tyv_2_model_2 0.7814748858447489 0.824
fold_7tyv_4_model_0 0.7716803652968036 0.808
fold_7tyv_3_model_0 0.65594921875 0.713
fold_7tyv_3_model_2 0.6511093750000001 0.718
fold_7tyv_1_model_2 0.7656986301369864 0.841
fold_7tyv_2_model_4 0.65948828125 0.72
fold_7tyv_4_model_3 0.6643710937500001 0.757
fold_7tyv_2_model_3 0.7883242009132421 0.723
fold_7tyv_4_model_1 0.7728675799086758 0.803
fold_7tyv_1_model_4 0.7543835616438357 0.754
fold_7tyv_2_model_1 0.7688310502283106 0.809
fold_7tyv_2_model_0 0.7810730593607307 0.895
fold_7ued_1_model_2 0.7683333333333334 0.618
fold_7ued_1_model_4 0.42573076923076925 0.616
fold_7ued_5_model_0 0.7615641025641026 0.621
fold_7ued_2_model_3 0.759051282051282 0.61
fold_7ued_3_model_4 0.7624102564102564 0.615
fold_7ued_2_model_1 0.7850641025641026 0.579
fold_7ued_1_model_1 0.7784871794871795 0.62
fold_7ued_4_model_0 0.7640641025641026 0.577
fold_7ued_4_model_3 0.7666666666666666 0.591
fold_7ued_5_model_4 0.7683333333333334 0.615
fold_7ued_3_model_1 0.775948717948718 0.617
fold_7ued_4_model_4 0.7847564102564102 0.613
fold_7ued_3_model_0 0.7674871794871795 0.615
fold_7ued_2_model_0 0.7647564102564103 0.581
fold_7ued_5_model_3 0.7556410256410256 0.613
fold_7ued_4_model_1 0.7496794871794872 0.578
fold_7ued_3_model_2 0.7564871794871795 0.613
fold_7ued_1_model_0 0.7624102564102564 0.615
fold_7ued_5_model_2 0.7691794871794873 0.623
fold_7ued_2_model_2 0.7790769230769231 0.598
fold_7ued_3_model_3 0.7641025641025642 0.615
fold_7ued_4_model_2 0.7488974358974358 0.566
fold_7ued_5_model_1 0.7767948717948718 0.608
fold_7ued_1_model_3 0.7505641025641026 0.621
fold_7ued_2_model_4 0.7396025641025641 0.566
fold_7vng_4_model_4 0.36282105263157893 0.62
fold_7vng_3_model_3 0.7561421052631578 0.883
fold_7vng_2_model_1 0.7594947368421052 0.885
fold_7vng_4_model_0 0.4344315789473684 0.494
fold_7vng_2_model_2 0.7648526315789473 0.884
fold_7vng_5_model_2 0.4279263157894737 0.755
fold_7vng_2_model_3 0.7668105263157894 0.884
fold_7vng_5_model_0 0.45095789473684206 0.552
fold_7vng_1_model_1 0.7523578947368421 0.88
fold_7vng_5_model_1 0.3499473684210526 0.481
fold_7vng_2_model_4 0.5725421052631579 0.885
fold_7vng_5_model_3 0.3432421052631579 0.565
fold_7vng_4_model_1 0.4371421052631579 0.481
fold_7vng_3_model_4 0.7465999999999999 0.883
fold_7vng_5_model_4 0.6070894736842105 0.768
fold_7vng_1_model_3 0.7607473684210526 0.884
fold_7vng_3_model_0 0.6685947368421052 0.884
fold_7vng_3_model_2 0.6395315789473683 0.883
fold_7vng_3_model_1 0.6924631578947369 0.883
fold_7vng_1_model_2 0.7280473684210527 0.885
fold_7vng_4_model_2 0.4251842105263158 0.492
fold_7vng_1_model_4 0.7665684210526316 0.879
fold_7vng_4_model_3 0.4753526315789473 0.637
fold_7vng_1_model_0 0.6632684210526315 0.885
fold_7vng_2_model_0 0.6962315789473683 0.885
fold_7vyr_5_model_4 0.7936612021857924 0.918
fold_7vyr_2_model_0 0.8439617486338797 0.92
fold_7vyr_1_model_3 0.8666502732240436 0.928
fold_7vyr_5_model_3 0.842551912568306 0.926
fold_7vyr_3_model_4 0.7784426229508197 0.913
fold_7vyr_5_model_2 0.8415136612021857 0.915
fold_7vyr_4_model_0 0.8483169398907104 0.917
fold_7vyr_4_model_4 0.8509945355191257 0.919
fold_7vyr_1_model_4 0.5545573770491803 0.615
fold_7vyr_2_model_1 0.8449344262295082 0.924
fold_7vyr_3_model_3 0.8423169398907104 0.921
fold_7vyr_2_model_3 0.8675081967213114 0.924
fold_7vyr_5_model_1 0.7914371584699454 0.928
fold_7vyr_3_model_0 0.8649125683060109 0.927
fold_7vyr_1_model_1 0.8741256830601094 0.921
fold_7vyr_5_model_0 0.7313224043715847 0.913
fold_7vyr_3_model_1 0.8524644808743169 0.918
fold_7vyr_2_model_4 0.7259726775956284 0.919
fold_7vyr_2_model_2 0.8410655737704918 0.924
fold_7vyr_1_model_0 0.8450437158469946 0.92
fold_7vyr_4_model_3 0.840120218579235 0.922
fold_7vyr_4_model_1 0.8061530054644809 0.915
fold_7vyr_1_model_2 0.8910983606557377 0.928
fold_7vyr_3_model_2 0.8570983606557377 0.923
fold_7vyr_4_model_2 0.8511967213114754 0.918
fold_7wo5_4_model_0 0.577 0.651
fold_7wo5_5_model_3 0.502 0.695
fold_7wo5_3_model_3 0.572 0.664
fold_7wo5_3_model_1 0.501 0.596
fold_7wo5_1_model_2 0.42043428571428576 0.525
fold_7wo5_2_model_0 0.4446685714285714 0.54
fold_7wo5_5_model_4 0.33462857142857144 0.512
fold_7wo5_2_model_1 0.35782857142857144 0.568
fold_7wo5_1_model_1 0.596 0.656
fold_7wo5_5_model_2 0.3658914285714286 0.529
fold_7wo5_5_model_1 0.37472571428571433 0.516
fold_7wo5_5_model_0 0.43839428571428574 0.483
fold_7wo5_3_model_0 0.34904 0.499
