MODEL,dockq,capri
1a2k_53,0.0101328447092428,incorrect
1a2k_54,0.0223385999221108,incorrect
1a2k_56,0.0094655471702076,incorrect
1a2k_57,0.0225115240383701,incorrect
1a2k_58,0.0089670631054461,incorrect
1a2k_59,0.0312568780116834,incorrect
1a2k_60,0.0078846813818875,incorrect
1a2k_61,0.0082019511362921,incorrect
1a2k_62,0.0224051373445263,incorrect
1a2k_63,0.0102843769082225,incorrect
1a2k_64,0.0098836205169579,incorrect
1a2k_65,0.0063692160650632,incorrect
1a2k_66,0.0089150171932144,incorrect
1a2k_67,0.0065676027475642,incorrect
1a2k_68,0.0123397961195616,incorrect
1a2k_71,0.0067972006120202,incorrect
1a2k_72,0.0247613261055854,incorrect
1a2k_73,0.0088886703991388,incorrect
1a2k_74,0.0234991805384363,incorrect
1a2k_75,0.0133047855721731,incorrect
1a2k_77,0.0092585079907782,incorrect
1a2k_78,0.009372479822964,incorrect
1a2k_79,0.0055097679795864,incorrect
1a2k_80,0.0080351592008906,incorrect
1a2k_81,0.005936813182287,incorrect
1a2k_83,0.0128137251458446,incorrect
1a2k_84,0.0320426032889389,incorrect
1a2k_85,0.0088569563848274,incorrect
1a2k_86,0.0335654051752013,incorrect
1a2k_87,0.0057581588977827,incorrect
1a2k_88,0.0102024745933642,incorrect
1a2k_89,0.0065775812295724,incorrect
1a2k_90,0.0098243423064021,incorrect
1a2k_91,0.0063236401372926,incorrect
1a2k_92,0.0095924716317378,incorrect
1a2k_93,0.014047652282853,incorrect
1a2k_94,0.0092325190227578,incorrect
1a2k_95,0.0079710558769367,incorrect
1a2k_97,0.006212344065932,incorrect
1a2k_98,0.006553433565692,incorrect
1a2k_99,0.0080158459745249,incorrect
1a2k_365130,0.5306538308906893,medium
1a2k_443512,0.5284823091214778,medium
1nbf_1,0.23487600744636,acceptable
1nbf_2,0.2284870039167654,incorrect
1nbf_3,0.1668780834754142,incorrect
1nbf_5,0.0222476593019011,incorrect
1nbf_6,0.0096992599095135,incorrect
1nbf_7,0.1787622551815663,incorrect
1nbf_8,0.2516701172484055,acceptable
1nbf_10,0.1097664839077494,incorrect
1nbf_11,0.1767631998762757,incorrect
1nbf_12,0.1908460709241051,incorrect
1nbf_13,0.1086229210768741,incorrect
1nbf_14,0.2649660763834391,acceptable
1nbf_15,0.2428415262688739,acceptable
1nbf_17,0.1967815029937174,incorrect
1nbf_18,0.1252455511421507,incorrect
1nbf_19,0.1530766655987657,incorrect
1nbf_20,0.022798657670084,incorrect
1nbf_21,0.219077829562641,incorrect
1nbf_23,0.198171926649087,incorrect
1nbf_24,0.213973633494524,incorrect
1nbf_25,0.1820127122051495,incorrect
1nbf_26,0.1900869787129337,incorrect
1nbf_27,0.1732800675880529,incorrect
1nbf_28,0.1847517911594121,incorrect
1nbf_29,0.0630117676817314,incorrect
1nbf_30,0.2678235439322338,acceptable
1nbf_31,0.0220233051914965,incorrect
1nbf_32,0.1895172099690687,incorrect
1nbf_34,0.16203111159744,incorrect
1nbf_35,0.2702381899654604,acceptable
1nbf_36,0.0268478954183658,incorrect
1nbf_37,0.0171326527663401,incorrect
1nbf_38,0.263187156037674,acceptable
1nbf_39,0.1675245875273872,incorrect
1nbf_40,0.1889288961892237,incorrect
1nbf_41,0.2477274608979872,acceptable
1nbf_42,0.1892325600993657,incorrect
1nbf_43,0.0096788133831544,incorrect
1nbf_44,0.1055532954715167,incorrect
1nbf_45,0.0219787431926969,incorrect
1nbf_46,0.1792666140942003,incorrect
1nbf_47,0.1677342352453341,incorrect
1nbf_49,0.2769014123692809,acceptable
1nbf_50,0.2039006132068618,incorrect
1nbf_51,0.1713209552014859,incorrect
1nbf_52,0.1775291302802333,incorrect
1nbf_53,0.2466445010219349,acceptable
1nbf_55,0.1883885534444209,incorrect
1nbf_56,0.0243597856655056,incorrect
1nbf_57,0.1609392812122796,incorrect
1nbf_58,0.0192839120345425,incorrect
1nbf_59,0.1952920894754211,incorrect
1nbf_60,0.0268553863818567,incorrect
1nbf_61,0.1761869589451546,incorrect
1nbf_64,0.1668412471807248,incorrect
1nbf_65,0.1994594712601382,incorrect
1nbf_66,0.1096089344246626,incorrect
1nbf_67,0.0340039625720888,incorrect
1nbf_68,0.0180712751496202,incorrect
1nbf_69,0.1860367583621948,incorrect
1nbf_70,0.0208094994031661,incorrect
1nbf_71,0.0853180093515463,incorrect
1nbf_72,0.2060259690561877,incorrect
1nbf_73,0.1773817660636922,incorrect
1nbf_74,0.0176554162644092,incorrect
1nbf_76,0.0181848296567596,incorrect
1nbf_77,0.0214688241806854,incorrect
1nbf_78,0.2599311144802748,acceptable
1nbf_79,0.0185172199832943,incorrect
1nbf_80,0.2617505486023592,acceptable
1nbf_81,0.0301259293212876,incorrect
1nbf_82,0.1150996664130463,incorrect
1nbf_83,0.0215559949926059,incorrect
1nbf_84,0.2304377945977518,acceptable
1nbf_88,0.0206095304421706,incorrect
1nbf_89,0.164757318068395,incorrect
1nbf_90,0.199488099446865,incorrect
1nbf_91,0.2386344451000328,acceptable
1nbf_92,0.009361992524474,incorrect
1nbf_93,0.1988338629380196,incorrect
1nbf_95,0.2133249861632905,incorrect
1nbf_96,0.2016172586556634,incorrect
1nbf_97,0.0231606914548072,incorrect
1nbf_100,0.0121086261932816,incorrect
1nbf_10063,0.5032856140783147,medium
1nbf_15213,0.4928331354153716,medium
1nbf_16733,0.4591932327166002,acceptable
1nbf_18892,0.4436672802820593,acceptable
1nbf_21083,0.4821426532383603,acceptable
1nbf_22465,0.4517105047597214,acceptable
1nbf_32528,0.4657421904214399,acceptable
1nbf_33508,0.4429295095556156,acceptable
1nbf_35669,0.4199253256427038,acceptable
1nbf_35971,0.4529328689633503,acceptable
2bnq_1,0.0052902269262583,incorrect
2bnq_2,0.0060314137840956,incorrect
2bnq_3,0.0073356448519218,incorrect
2bnq_4,0.002443403426323,incorrect
2bnq_5,0.0029263487256274,incorrect
2bnq_7,0.0049678426721938,incorrect
2bnq_8,0.0047177967252582,incorrect
2bnq_9,0.0041052512229515,incorrect
2bnq_10,0.0059111968072421,incorrect
2bnq_11,0.003676417804068,incorrect
2bnq_12,0.00484742736033,incorrect
2bnq_13,0.0039377436800886,incorrect
2bnq_14,0.0037000833187165,incorrect
2bnq_15,0.0080178481424687,incorrect
2bnq_16,0.004764084146902,incorrect
2bnq_17,0.0043319917316725,incorrect
2bnq_18,0.0044698889601292,incorrect
2bnq_19,0.0043471698797821,incorrect
2bnq_20,0.0071814304672039,incorrect
2bnq_21,0.0046328650424361,incorrect
2bnq_22,0.0040606815954803,incorrect
2bnq_23,0.0047509356668956,incorrect
2bnq_24,0.0036959970140209,incorrect
2bnq_25,0.0052193558493477,incorrect
2bnq_26,0.0109172080206937,incorrect
2bnq_27,0.0036742735053808,incorrect
2bnq_29,0.0046996997543111,incorrect
2bnq_30,0.0042110227165157,incorrect
2bnq_31,0.0043735192330322,incorrect
2bnq_32,0.00330934711444,incorrect
2bnq_33,0.0042933983169477,incorrect
2bnq_34,0.0040250394904327,incorrect
2bnq_37,0.0058134533033074,incorrect
2bnq_38,0.0172403832936613,incorrect
2bnq_39,0.0047178554375073,incorrect
2bnq_40,0.0039521607504315,incorrect
2bnq_41,0.0037053085416865,incorrect
2bnq_42,0.0037226326446813,incorrect
2bnq_43,0.004117724337348,incorrect
2bnq_44,0.0078557693217364,incorrect
2bnq_45,0.0040870236533471,incorrect
2bnq_46,0.0043516943634643,incorrect
2bnq_47,0.004239511774451,incorrect
2bnq_48,0.0036540685098472,incorrect
2bnq_50,0.0023920186679722,incorrect
2bnq_51,0.0058734599832468,incorrect
2bnq_52,0.0077712318951864,incorrect
2bnq_53,0.0029762048138803,incorrect
2bnq_54,0.0062839033555622,incorrect
2bnq_55,0.0037889932959148,incorrect
2bnq_56,0.0047185411643085,incorrect
2bnq_57,0.003637025781567,incorrect
2bnq_58,0.0040757289883809,incorrect
2bnq_59,0.0040033180051306,incorrect
2bnq_60,0.003928343136285,incorrect
2bnq_62,0.0073620355330914,incorrect
2bnq_63,0.004095235058695,incorrect
2bnq_64,0.0109659673673044,incorrect
2bnq_65,0.0036603069637346,incorrect
2bnq_66,0.0058251489514643,incorrect
2bnq_67,0.0043748975931012,incorrect
2bnq_68,0.0065488273380539,incorrect
2bnq_69,0.0040125241159595,incorrect
2bnq_70,0.0027884052545863,incorrect
2bnq_72,0.002661317091117,incorrect
2bnq_73,0.004051291129507,incorrect
2bnq_74,0.0057571450804993,incorrect
2bnq_75,0.0100157575922021,incorrect
2bnq_76,0.0039395881166311,incorrect
2bnq_77,0.0041596648696608,incorrect
2bnq_78,0.0180421633274812,incorrect
2bnq_80,0.0050724889767418,incorrect
2bnq_81,0.0039176251441767,incorrect
2bnq_82,0.0051611197682484,incorrect
2bnq_83,0.0027224887477547,incorrect
2bnq_84,0.0076723666528106,incorrect
2bnq_86,0.0079266777667234,incorrect
2bnq_87,0.0046351793663285,incorrect
2bnq_88,0.0050800385371825,incorrect
2bnq_89,0.0073774287494573,incorrect
2bnq_90,0.0046925502021869,incorrect
2bnq_92,0.004056005852063,incorrect
2bnq_93,0.0055075209419674,incorrect
2bnq_94,0.0049054593728277,incorrect
2bnq_95,0.0054865654575235,incorrect
2bnq_96,0.0047379451211122,incorrect
2bnq_97,0.0039345164414188,incorrect
2bnq_98,0.0041150674452179,incorrect
2bnq_99,0.003881921623717,incorrect
2bnq_100,0.0053700785820622,incorrect
2bnq_217584,0.5146688653566055,medium
